Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Epoch:728 | Test PESQ:3.057 | Test CSIG:4.147 | Test CBAK:3.113 | Test COVL:3.594
Epoch:729 | Test PESQ:3.104 | Test CSIG:4.151 | Test CBAK:3.042 | Test COVL:3.617
Epoch:730 | Test PESQ:3.079 | Test CSIG:4.155 | Test CBAK:3.092 | Test COVL:3.610
Epoch:731 | Test PESQ:3.080 | Test CSIG:4.134 | Test CBAK:3.057 | Test COVL:3.596
Epoch:732 | Test PESQ:3.084 | Test CSIG:4.133 | Test CBAK:3.057 | Test COVL:3.599
Epoch:733 | Test PESQ:3.057 | Test CSIG:4.093 | Test CBAK:3.119 | Test COVL:3.566
Epoch:734 | Test PESQ:3.077 | Test CSIG:4.161 | Test CBAK:3.106 | Test COVL:3.612
Epoch:735 | Test PESQ:3.076 | Test CSIG:4.111 | Test CBAK:3.105 | Test COVL:3.582
Epoch:736 | Test PESQ:3.082 | Test CSIG:4.137 | Test CBAK:3.047 | Test COVL:3.600
Epoch:737 | Test PESQ:3.084 | Test CSIG:4.138 | Test CBAK:3.096 | Test COVL:3.601
Epoch:738 | Test PESQ:3.067 | Test CSIG:4.158 | Test CBAK:3.102 | Test COVL:3.605
Epoch:739 | Test PESQ:3.072 | Test CSIG:4.134 | Test CBAK:3.080 | Test COVL:3.592
Epoch:740 | Test PESQ:3.060 | Test CSIG:4.151 | Test CBAK:3.055 | Test COVL:3.598
Epoch:741 | Test PESQ:3.089 | Test CSIG:4.158 | Test CBAK:3.139 | Test COVL:3.617
Epoch:742 | Test PESQ:3.070 | Test CSIG:4.137 | Test CBAK:3.033 | Test COVL:3.593
Epoch:743 | Test PESQ:3.120 | Test CSIG:4.169 | Test CBAK:3.106 | Test COVL:3.638
Epoch:744 | Test PESQ:3.068 | Test CSIG:4.148 | Test CBAK:3.104 | Test COVL:3.600
Epoch:745 | Test PESQ:3.082 | Test CSIG:4.135 | Test CBAK:3.070 | Test COVL:3.597
Epoch:746 | Test PESQ:3.062 | Test CSIG:4.126 | Test CBAK:3.072 | Test COVL:3.584
Epoch:747 | Test PESQ:3.111 | Test CSIG:4.146 | Test CBAK:3.045 | Test COVL:3.618
Epoch:748 | Test PESQ:3.085 | Test CSIG:4.138 | Test CBAK:3.076 | Test COVL:3.601
Epoch:749 | Test PESQ:3.065 | Test CSIG:4.136 | Test CBAK:3.134 | Test COVL:3.593
Epoch:750 | Test PESQ:3.038 | Test CSIG:4.116 | Test CBAK:3.053 | Test COVL:3.567
Total training time:1319.27Minute
--------Model Best score--------Epoch:625 | Test PESQ:3.138 | Test CSIG:4.164 | Test CBAK:3.117 | Test COVL:3.645
